,date,time,latitude,longitude,distance,speed,heart_rate,cadence,enhanced_speed,enhanced_altitude,fractional_cadence
134,11/6/22,14:55:59,40.60772675,-74.04145055,1720.14,NA,165,80,3.2,83.2,0
135,11/6/22,14:56:05,40.60780009,-74.04122793,1740.67,NA,164,80,3.21,83,0
136,11/6/22,14:56:09,40.60783588,-74.04108779,1753.16,NA,168,80,3.21,82,0
137,11/6/22,14:56:14,40.6078933,-74.04092241,1768.55,NA,170,79,3.219,81.4,0
138,11/6/22,14:56:21,40.60797368,-74.04069191,1790,NA,171,80,3.21,81,0
139,11/6/22,14:56:25,40.6080254,-74.04055168,1803.18,NA,168,80,3.21,80,0
140,11/6/22,14:56:28,40.60806194,-74.0404293,1814.3,NA,165,80,3.21,79.4,0
141,11/6/22,14:56:31,40.60809614,-74.04032855,1823.61,NA,162,80,3.21,79.4,0
142,11/6/22,14:56:34,40.60813109,-74.04022361,1833.3,NA,162,80,3.219,79.4,0
143,11/6/22,14:56:41,40.60820745,-74.03998171,1855.42,NA,162,80,3.228,77.8,0
144,11/6/22,14:56:43,40.6082274,-74.03991021,1861.86,NA,162,80,3.228,77.2,0
145,11/6/22,14:56:50,40.60829831,-74.03966621,1883.95,NA,162,80,3.228,75.6,0
146,11/6/22,14:56:51,40.60830913,-74.03963445,1886.88,NA,162,80,3.228,75.4,0
147,11/6/22,14:56:58,40.60838523,-74.03939456,1908.84,NA,165,79,3.219,74.2,0
148,11/6/22,14:57:00,40.60840501,-74.03933479,1914.35,NA,165,80,3.21,74,0
149,11/6/22,14:57:07,40.6084833,-74.03909381,1936.53,NA,167,80,3.191,73.2,0
150,11/6/22,14:57:09,40.60850157,-74.03902483,1942.71,NA,167,80,3.191,73.4,0
151,11/6/22,14:57:16,40.60858782,-74.03877782,1965.75,NA,167,80,3.191,73.2,0
152,11/6/22,14:57:18,40.60861121,-74.03871755,1971.47,NA,167,79,3.191,73.2,0
153,11/6/22,14:57:25,40.60870542,-74.03848202,1993.98,NA,168,80,3.182,72.2,0
154,11/6/22,14:57:27,40.60872587,-74.0384127,2000.26,NA,169,80,3.182,71,0
155,11/6/22,14:57:33,40.60877415,-74.03817088,2021.44,NA,171,80,3.182,68.4,0
156,11/6/22,14:57:34,40.60878513,-74.03813828,2024.46,NA,171,80,3.182,68.4,0
157,11/6/22,14:57:41,40.60885764,-74.03790291,2045.95,NA,171,80,3.172,70.8,0
158,11/6/22,14:57:43,40.60887675,-74.03784147,2051.56,NA,171,80,3.172,71,0.5
159,11/6/22,14:57:50,40.60894783,-74.0376077,2072.86,NA,171,79,3.154,70.2,0
160,11/6/22,14:57:57,40.60902704,-74.03736304,2095.36,NA,174,79,3.135,68.6,0
161,11/6/22,14:57:58,40.60904128,-74.03732808,2098.71,NA,174,80,3.126,68.2,0.5
